Guid,Name,SBQQ__Action__c,SBQQ__Active__c,SBQQ__BrandButton__c,SBQQ__Class__c,SBQQ__ConditionsMet__c,SBQQ__Default__c,SBQQ__Description__c,SBQQ__DisplayOrder__c,SBQQ__EventHandlerName__c,SBQQ__IconClass__c,SBQQ__Icon__c,SBQQ__Label__c,SBQQ__Location__c,SBQQ__PageHandlerName__c,SBQQ__Page__c,SBQQ__ParentCustomAction__c,SBQQ__ReturnURL__c,SBQQ__TargetObject__c,SBQQ__Type__c,SBQQ__URLTarget__c,SBQQ__URL__c
63d779db-8dbb-43c8-8898-f8c8a69f4ccc,Amend Contract,Amend Contract,true,false,#N/A,All,false,#N/A,941.0,#N/A,#N/A,#N/A,Amend Contract,Opportunity Panel,SelectContractOpp,Opportunity Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
8c459082-c032-48eb-9578-a8718ba1d61d,Cancel,Cancel,true,false,cancelBtn,All,false,#N/A,180.0,onCancel,#N/A,#N/A,Cancel,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
0f65a887-50c6-44f7-9916-da67fc127a0a,Reset Discounts - Quote,Reset Discounts,true,false,resetDiscBtn,All,false,#N/A,160.0,onResetDiscounts,sf-icon-undo,undo,Reset Discounts,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
874c7cd2-f2c9-459d-a29f-0484f0691ae5,Delete Group,Delete Group,true,false,deleteGroupBtn,All,false,#N/A,954.0,onDeleteGroup,#N/A,#N/A,Delete Group,Group,#N/A,Quote Line Editor,f1414a87-fd2f-4326-a327-51faa8e54278,#N/A,#N/A,Button,#N/A,#N/A
91f58df8-8078-47b6-8e74-6e75bdf16ca5,Separator,#N/A,true,false,#N/A,All,false,#N/A,911.0,#N/A,sbToolSeparator,#N/A,Add Products,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Separator,#N/A,#N/A
8cfb70d8-9a10-4019-9333-e11f62ace7fe,Renew Assets,Renew Assets,true,false,#N/A,All,false,#N/A,921.0,#N/A,#N/A,#N/A,Renew Assets,Account Panel,AssetSelector,Account Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
d2f48ee3-68f5-4656-8a72-4b9d3be02f42,Renew Contracts,Renew Contracts,true,false,#N/A,All,false,#N/A,931.0,#N/A,#N/A,#N/A,Renew Contracts,Contract Panel,RenewContracts,Contract Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
e843ad16-7fb1-4dab-baa8-a2cbf1f0e487,Reset Discounts - Group,Reset Discounts,true,false,resetDiscBtn,All,false,#N/A,954.0,onResetDiscounts,#N/A,#N/A,Reset Discounts,Group,#N/A,Quote Line Editor,d4c345c2-3f88-4bb6-8545-36cb7d460f73,#N/A,#N/A,Button,#N/A,#N/A
72ab7afc-71d9-489a-b278-80ce558c9139,Separator,#N/A,true,false,#N/A,All,false,#N/A,904.0,#N/A,sbToolSeparator,#N/A,Add Products,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Separator,#N/A,#N/A
bec84ab2-39f8-47fa-a94b-353efbbebaca,Clone with Related,Clone with Related,true,false,#N/A,All,false,#N/A,910.0,#N/A,#N/A,#N/A,Clone with Related,Quote Panel,CloneLineItems,Quote Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
